Model,Features,Num_Features,Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Baseline RF (NDII),['ndii_diff'],1,0.8601448415054018,0.8619944800545809,0.8601448415054018,0.8604922010691893,0.936,4023,3222,480,698
Tuned RF (NDII),['ndii_diff'],1,0.9106019233052357,0.9177507648879523,0.9106019233052357,0.9109302038807472,0.953,4093,3577,125,628
Baseline LGBM (NDII),['ndii_diff'],1,0.9134512643951086,0.9219555715605895,0.9134512643951086,0.9137665974595581,0.958,4080,3614,88,641
Tuned LGBM (NDII),['ndii_diff'],1,0.9134512643951086,0.9219555715605895,0.9134512643951086,0.9137665974595581,0.959,4080,3614,88,641
Baseline SVM (NDII),['ndii_diff'],1,0.9128576516680518,0.9217909209815429,0.9128576516680518,0.9131732011143207,0.949,4070,3619,83,651
Tuned SVM (NDII),['ndii_diff'],1,0.910720645850647,0.9202980436831582,0.910720645850647,0.9110399869341927,0.965,4050,3621,81,671
Baseline RF (NDVI),['ndvi_diff'],1,0.8179983378843643,0.8194258250643662,0.8179983378843643,0.818374139028997,0.91,3869,3021,681,852
Tuned RF (NDVI),['ndvi_diff'],1,0.8933871542205865,0.8957200650844617,0.8933871542205865,0.8936876201342865,0.935,4141,3384,318,580
Baseline LGBM (NDVI),['ndvi_diff'],1,0.9187937789386205,0.9212745707419341,0.9187937789386205,0.9190314043718042,0.937,4240,3499,203,481
Tuned LGBM (NDVI),['ndvi_diff'],1,0.9179627211207408,0.920715780827082,0.9179627211207408,0.918211525964014,0.937,4228,3504,198,493
Baseline SVM (NDVI),['ndvi_diff'],1,0.9202184494835569,0.9230123897833761,0.9202184494835569,0.9204618459502809,0.941,4236,3515,187,485
Tuned SVM (NDVI),['ndvi_diff'],1,0.915469547667102,0.9197385175213475,0.915469547667102,0.9157599177703343,0.963,4176,3535,167,545
Baseline RF (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.9003917843998576,0.907339450800715,0.9003917843998576,0.9007573641190212,0.939,4054,3530,172,667
Tuned RF (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.9041909058530215,0.9114957962586756,0.9041909058530215,0.9045427547490812,0.94,4063,3553,149,658
Baseline LGBM (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.8978986109462187,0.9027901998347243,0.8978986109462187,0.8982586842325998,0.945,4088,3475,227,633
Tuned LGBM (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.9003917843998576,0.9061366647707515,0.9003917843998576,0.9007520767274604,0.948,4079,3505,197,642
Baseline SVM (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.912620206577229,0.9210951260692135,0.912620206577229,0.9129386779768405,0.959,4077,3610,92,644
Tuned SVM (Multi),"['ndii_diff', 'ndvi_diff', 'swir_diff', 'red_diff', 'nir_diff', 'swir_after', 'ndii_after', 'evi_after']",8,0.9134512643951086,0.9224729562921776,0.9134512643951086,0.9137642119616765,0.975,4071,3623,79,650
Baseline RF (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9170129407574499,0.92113792787805,0.9170129407574499,0.9172958217231277,0.964,4186,3538,164,535
Tuned RF (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9195061142110886,0.9240504850660727,0.9195061142110886,0.9197865258859346,0.966,4186,3559,143,535
Baseline LGBM (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9142823222129882,0.9181624127238862,0.9142823222129882,0.9145699985359885,0.968,4181,3520,182,540
Tuned LGBM (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9149946574854565,0.918572086483872,0.9149946574854565,0.9152738746492781,0.971,4192,3515,187,529
Baseline SVM (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9189125014840318,0.9262171806531354,0.9189125014840318,0.9192102868570291,0.959,4125,3615,87,596
Tuned SVM (Hybrid),"['ndii_diff', 'ndii_after', 'gndvi_diff', 'swir_after']",4,0.9225929003917844,0.9290999600745944,0.9225929003917844,0.9228762141586295,0.964,4156,3615,87,565
